city_id,date,average_temp_celsius
8,03-04-2019,6
8,04-04-2019,5
8,05-04-2019,5.2
8,06-04-2019,8.3
8,07-04-2019,10
8,08-04-2019,10
8,09-04-2019,9.1
8,10-04-2019,8.9
8,11-04-2019,7.1
8,12-04-2019,4.9
8,13-04-2019,4
8,14-04-2019,3.4
8,15-04-2019,8
8,16-04-2019,9.3
8,17-04-2019,11.6
8,18-04-2019,13.4
8,19-04-2019,15
8,20-04-2019,15.6
8,21-04-2019,15.4
8,22-04-2019,15.7
8,23-04-2019,15.6
8,24-04-2019,14
8,25-04-2019,11.1
8,26-04-2019,10.5
8,27-04-2019,8.8
8,28-04-2019,6.8
8,29-04-2019,7.9
8,30-04-2019,11.7
8,01-05-2019,12.8
8,02-05-2019,11.5
8,03-05-2019,10
8,04-05-2019,6.6
8,05-05-2019,6.1
8,06-05-2019,7.1
8,07-05-2019,8.5
8,08-05-2019,10.4
8,09-05-2019,10.4
8,10-05-2019,11.4
8,11-05-2019,10.9
8,12-05-2019,8.9
8,13-05-2019,9.8
8,14-05-2019,10.2
8,15-05-2019,10.1
8,16-05-2019,10.9
8,17-05-2019,13.3
8,18-05-2019,14.7
8,19-05-2019,14.1
8,20-05-2019,14.1
8,21-05-2019,13.5
8,22-05-2019,13
8,23-05-2019,14.8
8,24-05-2019,16.8
8,25-05-2019,15.5
8,26-05-2019,15.3
8,27-05-2019,15.6
8,28-05-2019,13.1
8,29-05-2019,13
8,30-05-2019,14.7
8,31-05-2019,17.3
9,16-03-2019,12.6
9,17-03-2019,12.1
9,18-03-2019,10.5
9,19-03-2019,10.7
9,20-03-2019,10.5
9,21-03-2019,10.4
9,22-03-2019,13
9,23-03-2019,14.8
9,24-03-2019,16.4
9,25-03-2019,14
9,26-03-2019,11.8
9,27-03-2019,12.5
9,28-03-2019,11.9
9,29-03-2019,10.8
9,30-03-2019,10.4
9,31-03-2019,10.9
9,01-04-2019,11.4
9,02-04-2019,10
9,03-04-2019,9.9
9,04-04-2019,9
9,05-04-2019,9.7
9,06-04-2019,11.3
9,07-04-2019,10.2
9,08-04-2019,10.2
9,09-04-2019,11.8
9,10-04-2019,13.7
9,11-04-2019,14.3
9,12-04-2019,14.3
9,13-04-2019,12.7
9,14-04-2019,11.1
9,15-04-2019,11.3
9,16-04-2019,11.5
9,17-04-2019,11.6
9,18-04-2019,13.8
9,19-04-2019,15
9,20-04-2019,15.4
9,21-04-2019,15.3
9,22-04-2019,17.2
9,23-04-2019,13.9
9,24-04-2019,14.7
9,25-04-2019,14.5
9,26-04-2019,12
9,27-04-2019,13.8
9,28-04-2019,12.9
9,29-04-2019,13.6
9,30-04-2019,15.7
9,01-05-2019,16
9,02-05-2019,16
9,03-05-2019,14.7
9,04-05-2019,14.9
9,05-05-2019,10.9
9,06-05-2019,13.1
9,07-05-2019,13.5
9,08-05-2019,13.9
9,09-05-2019,15.1
9,10-05-2019,16.7
9,11-05-2019,17.5
9,12-05-2019,16.2
9,13-05-2019,17
9,14-05-2019,17.8
9,15-05-2019,15.9
9,16-05-2019,14.7
9,17-05-2019,13.1
9,18-05-2019,15
9,19-05-2019,14.4
9,20-05-2019,17.1
9,21-05-2019,18.8
9,22-05-2019,20.2
9,23-05-2019,19.7
9,24-05-2019,18.9
9,25-05-2019,21
9,26-05-2019,21.5
9,27-05-2019,20.9
9,28-05-2019,17.8
9,29-05-2019,18.3
9,30-05-2019,21
9,31-05-2019,20.2
10,16-03-2019,10.1
10,17-03-2019,7.4
10,18-03-2019,4.4
10,19-03-2019,3.7
10,20-03-2019,4.6
10,21-03-2019,7.2
10,22-03-2019,8.4
10,23-03-2019,9
10,24-03-2019,8
10,25-03-2019,5.9
10,26-03-2019,5.6
10,27-03-2019,6.7
10,28-03-2019,8
10,29-03-2019,10.5
10,30-03-2019,11.3
10,31-03-2019,11.1
10,01-04-2019,11.4
10,02-04-2019,11.2
10,03-04-2019,5.9
10,04-04-2019,4.4
10,05-04-2019,5.2
10,06-04-2019,7.9
10,07-04-2019,9.7
10,08-04-2019,9.6
10,09-04-2019,8.6
10,10-04-2019,8
10,11-04-2019,7.3
10,12-04-2019,5.2
10,13-04-2019,3.8
10,14-04-2019,2.8
10,15-04-2019,7.7
10,16-04-2019,9
10,17-04-2019,11.6
10,18-04-2019,13.1
10,19-04-2019,14.4
10,20-04-2019,14.9
10,21-04-2019,15.1
10,22-04-2019,15.4
10,23-04-2019,15.7
10,24-04-2019,13.5
10,25-04-2019,11.2
10,26-04-2019,10.2
10,27-04-2019,8.6
10,28-04-2019,6.4
10,29-04-2019,7.7
10,30-04-2019,10.6
10,01-05-2019,12.2
10,02-05-2019,10.7
10,03-05-2019,10.1
10,04-05-2019,5.9
10,05-05-2019,5.5
10,06-05-2019,6.6
10,07-05-2019,8.7
10,08-05-2019,10.3
10,09-05-2019,10
10,10-05-2019,11.2
10,11-05-2019,11.1
10,12-05-2019,8.9
10,13-05-2019,9.9
10,14-05-2019,10.2
10,15-05-2019,9.7
10,16-05-2019,10.5
10,17-05-2019,13.1
10,18-05-2019,14.2
10,19-05-2019,13.7
10,20-05-2019,13.5
10,21-05-2019,13.4
10,22-05-2019,12.7
10,23-05-2019,14.8
10,24-05-2019,16.4
10,25-05-2019,15.5
10,26-05-2019,15.1
10,27-05-2019,15.6
10,28-05-2019,13.1
10,29-05-2019,12.8
10,30-05-2019,14.4
10,31-05-2019,17.1
11,16-03-2019,10.6
11,17-03-2019,8.4
11,18-03-2019,7.5
11,19-03-2019,7.6
11,20-03-2019,8.4
11,21-03-2019,10.2
11,22-03-2019,9.9
11,23-03-2019,10.3
11,24-03-2019,9.3
11,25-03-2019,8
11,26-03-2019,7.4
11,27-03-2019,8.1
11,28-03-2019,9.2
11,29-03-2019,10.5
